cancer_type,model,accuracy,mean_prob,n_samples,n_valid
Gastrointestinal Neuroendocrine Tumor,qwen3,0.0,0.8964549180327869,526,488
Gastrointestinal Neuroendocrine Tumor,qwen3-vl-235b-a22b,0.7604562737642585,0.7187262357414448,526,526
Gastrointestinal Neuroendocrine Tumor,deepseek,0.42643923240938164,0.7337953091684435,526,469
Gastrointestinal Neuroendocrine Tumor,deepseek-r1,1.7110266159695817,0.6619771863117871,526,526
Gastrointestinal Neuroendocrine Tumor,claude-sonnet-37,1.3307984790874523,0.6432889733840305,526,526
Gastrointestinal Neuroendocrine Tumor,claude-sonnet-45,0.0,0.6360687022900763,526,526
Gastrointestinal Neuroendocrine Tumor,claude-opus-45,2.6615969581749046,0.4222623574144486,526,526
"Skin Cancer, Non-Melanoma",GDD-ENS,32.719836400818,0.49647730061349693,489,489
"Skin Cancer, Non-Melanoma",gpt-5,16.973415132924334,0.6148261758691206,489,489
"Skin Cancer, Non-Melanoma",gpt-4o,0.408997955010225,0.6784253578732107,489,489
"Skin Cancer, Non-Melanoma",o3-mini,0.408997955010225,0.8053374233128833,489,489
"Skin Cancer, Non-Melanoma",medgemma,0.0,0.7155419222903885,489,489
"Skin Cancer, Non-Melanoma",qwen3,0.0,0.8976419213973797,489,458
"Skin Cancer, Non-Melanoma",qwen3-vl-235b-a22b,0.0,0.7257873210633946,489,489
"Skin Cancer, Non-Melanoma",deepseek,0.22471910112359553,0.7243820224719101,489,445
"Skin Cancer, Non-Melanoma",deepseek-r1,0.6134969325153374,0.670715746421268,489,489
"Skin Cancer, Non-Melanoma",claude-sonnet-37,3.476482617586912,0.650756646216769,489,489
"Skin Cancer, Non-Melanoma",claude-sonnet-45,0.2044989775051125,0.6492418032786884,489,489
"Skin Cancer, Non-Melanoma",claude-opus-45,6.5439672801636,0.4005316973415132,489,489
Uterine Sarcoma,GDD-ENS,48.46335697399527,0.6102697399527186,423,423
Uterine Sarcoma,gpt-5,9.929078014184398,0.5919621749408983,423,423
Uterine Sarcoma,gpt-4o,1.8957345971563981,0.6872037914691944,423,422
Uterine Sarcoma,o3-mini,3.546099290780142,0.7948463356973996,423,423
Uterine Sarcoma,medgemma,0.0,0.7985815602836879,423,423
Uterine Sarcoma,qwen3,0.5235602094240838,0.8976178010471204,423,382
Uterine Sarcoma,qwen3-vl-235b-a22b,1.1820330969267139,0.7204728132387707,423,423
Uterine Sarcoma,deepseek,1.0050251256281406,0.822110552763819,423,398
Uterine Sarcoma,deepseek-r1,10.638297872340425,0.6520094562647755,423,423
Uterine Sarcoma,claude-sonnet-37,1.8912529550827424,0.6481560283687943,423,423
Uterine Sarcoma,claude-sonnet-45,5.4373522458628845,0.6517061611374407,423,423
Uterine Sarcoma,claude-opus-45,3.309692671394799,0.4059810874704492,423,423
Peripheral Nervous System,GDD-ENS,36.972704714640194,0.5633141439205955,403,403
Peripheral Nervous System,gpt-5,29.280397022332505,0.6422580645161291,403,403
Peripheral Nervous System,gpt-4o,1.7587939698492463,0.7041457286432161,403,398
Peripheral Nervous System,o3-mini,5.459057071960298,0.8085359801488833,403,403
Peripheral Nervous System,medgemma,0.0,0.7952853598014888,403,403
Peripheral Nervous System,qwen3,0.0,0.9001156069364161,403,346
